CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A009;A010;A010_05;A011;A011_07;A012;A012_01;A012_02;A012_03;A012_04;A012_05;A012_06;A012_07;A012_08;A012_09;A012_09a;A014;B003;B003_01;B003_02;B003_03;B003_04;B003_05;B003_06;B003_07;B003_07a;B004;B005_01;B006;B007_01;B008;B008_01;B008_02;B008_03;B008_04;B008_05;B008_06;B008_06a;B009;B009_01;B010;B015;B015_01;B015_02;B015_03;B015_04;B015_05;B015_06;B015_07;B015_08;B011;B011_03;B012;B013;B013_01;B016_CN;B016x01;B016x11;B016x12;B016x13;B016x02;B016x21;B016x22;C001;C001_01;C001_02;C001_03;C001_04;C001_05;C001_06;C001_07;C001_08;C001_08a;C001_09;C002;C002_01;C002_02;C002_03;C002_04;C002_05;C002_06;C002_07;C002_08;C002_08a;C002_09;C003;C003_01;C003_02;C003_03;C003_04;C003_05;C003_06;C003_07;C003_08;C003_09;C003_09a;C003_10;C004;C004_01;C004_02;C004_03;C004_04;C004_05;C004_05a;C004_06;C005;C005_01;C006;C006_01;C006_02;C006_03;C006_04;C006_05;C006_06;C006_07;C006_08;C006_08a;C006_09;C007_01;D008;D002;D001_01;D003;D004_01;D005_01;D006_01;D007;;;;;;;;;;;;;;;;;;;;;;;;
Interview-Nummer (fortlaufend);Seriennummer (sofern verwendet);Referenz (sofern im Link angegeben);Fragebogen, der im Interview verwendet wurde;Interview-Modus;Zeitpunkt zu dem das Interview begonnen hat (Europe/Berlin);Country autocomplete;Affiliation;Affiliation: Other;Qualification;Qualification: Other;Discipline: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Discipline: Inorganic chemistry;Discipline: Organic chemistry;Discipline: Physical chemistry;Discipline: Chemical engineering;Discipline: Theoretical chemistry;Discipline: Pharmacy/Pharmaceutical chemistry;Discipline: Material science;Discipline: Biochemistry;Discipline: Other;Discipline: Other (offene Eingabe);Experience;Data types: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Data types: Experimental data on synthesis;Data types: Simulation data;Data types: Spectroscopic data;Data types: Microscopic data (e.g. SEM, TEM, ...);Data types: Crystallographic data;Data types: Voltammetric data;Data types: Other data;Data types: Other data (offene Eingabe);Non-electronic Data types;Non-electronic Data types Addon: [01];Non-electronic Data analysis;Non-electronic Data analysis Addon: [01];Data type archiving: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Data type archiving: Raw data (means also simulation data);Data type archiving: Processed data;Data type archiving: Analysed data;Data type archiving: All data;Data type archiving: I delete with caution data which cannot be analysed or of experiments/measurements which were not successful.;Data type archiving: Other data;Data type archiving: Other data (offene Eingabe);RDM policies;RDM policies: Yes;Metadata annotation;Metadata annotation addon: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Metadata annotation addon: Name of the researcher;Metadata annotation addon: Number from lab notebook;Metadata annotation addon: Sample description;Metadata annotation addon: Project number;Metadata annotation addon: Date of experiment;Metadata annotation addon: Method of data collection;Metadata annotation addon: Other;Metadata annotation addon: No answer;Metadata generation;Metadata generation: Other;Understanding Metadata;ELN;ELN: Yes, I use;TODO;Hierarchische Auswahl: Yes;Hierarchische Auswahl: Yes, in my institute we have standards for the description of data with metadata;Hierarchische Auswahl: Yes, in my working group we have standards for the description of data with metadata;Hierarchische Auswahl: Yes, I have agreements with my colleagues with whom I cooperate.;Hierarchische Auswahl: No;Hierarchische Auswahl: No standards exist.;Hierarchische Auswahl: No, the defined standards do not make sense for me. I have my own system to document metadata which I regard as appropriate for my data.;LZA: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;LZA: Local workspace (PC, Laptop);LZA: Server of working group/institute;LZA: University server/ server at university IT centre;LZA: External hard drive;LZA: USB stick, DVD, CD;LZA: Cloud system (e.g. GDrive, Dropbox, Owncloud);LZA: Data repository;LZA: Other;LZA: Other (offene Eingabe);LZA: No answer;Data sharing WG: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Data sharing WG: Electronic lab journal;Data sharing WG: Via server of institute/working group;Data sharing WG: Cloud system (e.g. GDrive, Dropbox, Owncloud);Data sharing WG: E-Mail;Data sharing WG: USB stick, DVD, CD;Data sharing WG: Data repository;Data sharing WG: I do not share my data.;Data sharing WG: Other;Data sharing WG: Other (offene Eingabe);Data sharing WG: No answer;Data sharing outside WG: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Data sharing outside WG: Electronic lab journal;Data sharing outside WG: Via server of institute/working group;Data sharing outside WG: Cloud system (e.g. GDrive, Dropbox, Owncloud);Data sharing outside WG: E-Mail;Data sharing outside WG: USB stick, DVD, CD;Data sharing outside WG: Data repository;Data sharing outside WG: Publication as data publication or Supplementary Information.;Data sharing outside WG: I do not share my data.;Data sharing outside WG: Other;Data sharing outside WG: Other (offene Eingabe);Data sharing outside WG: No answer;Data publication: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Data publication: Yes, as part of a text publication in form of supplemental material;Data publication: Yes, as part of a text publication in a data repository;Data publication: Yes, as pure data publication in a data repository independent on a text publication;Data publication: No, I have not yet published any data;Data publication: Other;Data publication: Other (offene Eingabe);Data publication: No answer;Known Databases;Known Databases: Yes, the following;Data reuse: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Data reuse: Yes, data by a colleague from the same institute/working group;Data reuse: Yes, data by a colleague from another institute;Data reuse: Yes, data from supplemental materials of a publication;Data reuse: Yes, data from a data repository;Data reuse: No, the desired data were not sufficiently described;Data reuse: No, I do not trust data from others;Data reuse: No, until now, it was not required to use other data;Data reuse: No, because;Data reuse: No, because (offene Eingabe);Data reuse: No answer;Reason Data reuse: [01];German affiliation;DFG GWP;DFG GWP Addon: [01];Known Data Services;Known Data Services Addon: [01];Wishes to NFDI4Chem: [01];Missing RDM: [01];Contact request;;;;;;;;;;;;;;;;;;;;;;;;
97;;;base;interview;19.07.2019 11:23;276;1;;3;;3;2;1;1;1;1;1;2;1;2;Catalysis;9;5;2;1;2;2;2;1;2;Product Data (GC);1;"-General Observations: like color changes, things that are unusual with an experiment
- Changes to pre-planned experiments
";1;;1;1;1;1;2;1;1;;3;;1;3;1;1;1;2;2;2;1;1;3;Both;4;1;Labfolder;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;;2;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;3;;2;;Need for a general Taxonomy to make data understandable for everyone;Extracting metadata can be very time consuming;1;;;;;;;;;;;;;;;;;;;;;;;;
209;;;base;interview;19.07.2019 16:55;276;1;;3;;1;1;1;1;1;1;1;1;1;2;Crystallography;2;2;1;1;2;1;2;1;1;;2;;1;;2;1;2;2;1;1;1;;1;rules required by the publishers;1;3;2;1;1;1;1;2;2;1;3;Manually and software;2;2;;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;1;1;2;1;1;1;;1;1;1;2;1;1;1;;1;1;ICSD, CSD;1;1;1;1;2;1;1;1;1;;1;Analyzing and Comparing;1;2;Because we store the data on an external repository.;1;Crystallographic programmes ;DOI registration, Ontologoy for descirption; data level metrics;2;;;;;;;;;;;;;;;;;;;;;;;;
295;;;base;interview;20.07.2019 08:24;528;1;;3;;1;1;1;1;1;1;1;1;2;1;;4;1;1;1;1;1;1;1;2;Spectrometer data;1;Protocol notes, notes on deviation during protocol and measurement, sample description;1;;2;1;2;2;1;1;1;;2;;1;6;2;1;2;2;2;2;2;1;1;;2;2;;1;1;1;1;1;2;2;1;3;2;1;1;1;1;2;2;1;;1;3;1;1;2;2;2;1;1;1;;1;3;1;1;2;2;1;2;1;1;1;;1;1;1;1;2;1;1;;1;2;;3;2;2;1;2;1;1;1;1;;1;Contextualise own results;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
394;;;base;interview;22.07.2019 13:23;756;2;;2;;1;1;1;1;1;1;1;1;1;2;Analytical chemistry;4;1;1;1;1;1;1;1;2;Mass spectrometric data;2;;1;;3;2;2;2;1;1;1;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
399;;;base;interview;22.07.2019 14:51;276;1;;2;;1;1;1;2;1;1;1;1;1;1;;5;3;1;2;2;2;1;1;1;;1;Experimental metadata mostly to characterize the sample.;1;;3;2;2;2;1;1;1;;1;All data should be documented, not always digital.;1;4;2;2;1;1;2;2;1;1;1;;1;2;;1;2;1;1;2;1;1;1;2;2;2;1;1;1;1;1;1;;1;4;1;2;2;2;2;1;1;1;;1;2;1;1;1;1;1;1;2;1;2;Only by reasonable request.;1;1;2;1;1;1;1;;1;1;limited: http://rruff.info/;1;1;1;1;1;1;2;1;1;;1;;1;1;;2;;Attaching the metadata to data, linking a ELN to the data, having databases for spectroscopic data;Attaching the metadata to data, linking a ELN to the data, having databases for spectroscopic data;1;;;;;;;;;;;;;;;;;;;;;;;;
408;;;base;interview;22.07.2019 14:59;276;2;;2;;3;2;1;2;1;2;1;1;1;1;;4;2;1;2;2;1;1;1;1;;1;Details about different experimental setups/spectrometre setting for different spectra;2;pen-and-paper lists;3;2;2;2;1;1;1;;3;;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;1;2;1;1;1;1;;1;2;1;1;1;2;2;1;1;1;;1;2;1;1;1;2;2;1;1;1;1;;1;1;2;1;1;1;1;;1;1;NOMAD;4;2;2;2;1;2;1;1;1;;1;Comparison with my own;1;2;Too complicated;2;;;Motivation;2;;;;;;;;;;;;;;;;;;;;;;;;
412;;;base;interview;22.07.2019 15:08;276;2;;7;Senior scientist;2;1;1;1;1;1;1;2;1;2;Polymer science;8;3;1;1;2;2;1;1;2;many different: experiments parameters, various anlysis data ;1;rather few data. but still there are some intruments, machines which do not directly input into a computer. mainly balynce, thermometers etc.;1;;4;2;2;2;2;1;1;;1;Geral demands by institute, details in group;1;6;2;1;2;2;2;2;2;1;1;;2;2;;1;2;1;1;2;1;1;1;3;1;2;1;2;1;2;1;1;;1;2;1;2;2;1;1;1;1;1;;1;4;1;2;2;2;1;1;2;1;1;;1;2;2;1;1;1;2;all publications contain highly processed data;1;2;;2;2;2;1;1;1;1;1;1;;1;mostly as reference;1;1;;2;;I don't know (or it would be an extensive description);management of large and diverse projects;1;;;;;;;;;;;;;;;;;;;;;;;;
413;;;base;interview;22.07.2019 15:18;276;2;;8;;1;1;1;1;1;1;1;1;1;2;life sciences;8;1;1;1;2;1;1;1;1;;1;"data from direct print of a device (polimeter) without  connection to a computer:
printer --> scan on USB --> USB at computer --> network drive";2;assignments in NMR spectra;1;2;1;1;1;1;1;;1;raw data have to be archived on a server with separate folders for each instrument, file (directory) names have to follow strong rules to avoid dublications and to make the data  retrievable ry name) ;3;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;1;1;1;1;2;1;;1;3;1;2;1;1;2;2;1;1;;1;3;1;2;1;1;2;2;1;1;1;;1;2;2;2;1;1;1;;1;1;SciFinder, Reaxys, ACD, NMRShiftDB, Massbank;3;2;1;2;2;1;1;1;1;;1;comparison with own data;1;1;;3;;;database for spectroscopic data, ELN, LIMS;2;;;;;;;;;;;;;;;;;;;;;;;;
416;;;base;interview;22.07.2019 15:23;276;1;;3;;1;1;1;1;1;1;1;1;2;1;;9;2;1;1;1;1;2;1;2;Sequence data, picture-based data;1;Many gels that are photographed and thus transported to electronic data;1;;4;2;2;2;1;2;1;;3;;2;;;;;;;;;;;;;1;OneNote;;;;;;;;;4;2;2;2;2;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;1;1;1;2;1;1;1;1;1;1;;1;3;2;2;2;1;1;;1;1;Protein database;2;1;2;1;2;1;1;1;1;;1;production of alignments, comparison of protein structures and sequences;1;1;;1;Protein database;;;2;;;;;;;;;;;;;;;;;;;;;;;;
